county,office,district,party,candidate,votes,election_day,mi,pr
Perry,President,,DEM,BIDEN/HARRIS,5950,2826,3083,41
Perry,President,,REP,TRUMP/PENCE,18293,15752,2384,157
Perry,President,,LIB,JORGENSEN/COHEN,409,316,88,5
Perry,Attorney General,,DEM,JOSH SHAPIRO,6225,3205,2974,46
Perry,Attorney General,,REP,HEATHER HEIDELBAUGH,17471,14983,2341,147
Perry,Attorney General,,LIB,DANIEL WASSMER,507,401,104,2
Perry,Attorney General,,GRN,RICHARD L WEISS,230,145,81,4
Perry,Auditor General,,DEM,NINA AHMAD,5065,2376,2650,39
Perry,Auditor General,,REP,TIMOTHY DEFOOR,18077,15393,2529,155
Perry,Auditor General,,LIB,JENNIFER MOORE,844,677,162,5
Perry,Auditor General,,GRN,OLIVIA FAISON,243,149,92,2
Perry,State Treasurer,,DEM,JOE TORSELLA,5436,2638,2762,36
Perry,State Treasurer,,REP,STACY L GARRITY,17917,15305,2459,153
Perry,State Treasurer,,LIB,JOE SOLOSKI,624,495,123,6
Perry,State Treasurer,,GRN,TIMOTHY RUNKLE,300,189,106,5
Perry,Congress,12,REP,LEE GRIFFIN,5255,2499,2716,40
Perry,Congress,12,DEM,FRED KELLER,19040,16125,2756,159
Perry,PA Senator,15,DEM,GEORGE SCOTT,6075,3090,2939,46
Perry,PA Senator,15,REP,JOHN DISANTO,18277,15585,2537,155
Perry,PA Rep,86,REP,PERRY STAMBAUGH,21354,17264,3908,182
