county,precinct,office,district,party,candidate,votes
Wyoming,Braintrim Township,President,,DEM,BIDEN/HARRIS,51
Wyoming,Braintrim Township,President,,REP,TRUMP/PENCE,179
Wyoming,Braintrim Township,President,,LIB,JORGENSEN/COHEN,0
Wyoming,Braintrim Township,President,,Write-Ins,WI,0
Wyoming,Braintrim Township,President,,Scattered,SC,1
Wyoming,Clinton Township,President,,DEM,BIDEN/HARRIS,315
Wyoming,Clinton Township,President,,REP,TRUMP/PENCE,472
Wyoming,Clinton Township,President,,LIB,JORGENSEN/COHEN,13
Wyoming,Clinton Township,President,,Write-Ins,WI,0
Wyoming,Clinton Township,President,,Scattered,SC,3
Wyoming,Eaton Township,President,,DEM,BIDEN/HARRIS,301
Wyoming,Eaton Township,President,,REP,TRUMP/PENCE,572
Wyoming,Eaton Township,President,,LIB,JORGENSEN/COHEN,17
Wyoming,Eaton Township,President,,Write-Ins,WI,0
Wyoming,Eaton Township,President,,Scattered,SC,2
Wyoming,Exeter Township,President,,DEM,BIDEN/HARRIS,135
Wyoming,Exeter Township,President,,REP,TRUMP/PENCE,274
Wyoming,Exeter Township,President,,LIB,JORGENSEN/COHEN,6
Wyoming,Exeter Township,President,,Write-Ins,WI,0
Wyoming,Exeter Township,President,,Scattered,SC,1
Wyoming,Factoryville Boro Wards 1,President,,DEM,BIDEN/HARRIS,126
Wyoming,Factoryville Boro Wards 1,President,,REP,TRUMP/PENCE,121
Wyoming,Factoryville Boro Wards 1,President,,LIB,JORGENSEN/COHEN,7
Wyoming,Factoryville Boro Wards 1,President,,Write-Ins,WI,0
Wyoming,Factoryville Boro Wards 1,President,,Scattered,SC,0
Wyoming,Factoryville Boro Wards 2,President,,DEM,BIDEN/HARRIS,99
Wyoming,Factoryville Boro Wards 2,President,,REP,TRUMP/PENCE,119
Wyoming,Factoryville Boro Wards 2,President,,LIB,JORGENSEN/COHEN,2
Wyoming,Factoryville Boro Wards 2,President,,Write-Ins,WI,0
Wyoming,Factoryville Boro Wards 2,President,,Scattered,SC,0
Wyoming,Falls Township,President,,DEM,BIDEN/HARRIS,364
Wyoming,Falls Township,President,,REP,TRUMP/PENCE,692
Wyoming,Falls Township,President,,LIB,JORGENSEN/COHEN,10
Wyoming,Falls Township,President,,Write-Ins,WI,0
Wyoming,Falls Township,President,,Scattered,SC,1
Wyoming,Forkston Township,President,,DEM,BIDEN/HARRIS,42
Wyoming,Forkston Township,President,,REP,TRUMP/PENCE,142
Wyoming,Forkston Township,President,,LIB,JORGENSEN/COHEN,3
Wyoming,Forkston Township,President,,Write-Ins,WI,0
Wyoming,Forkston Township,President,,Scattered,SC,2
Wyoming,Laceyville Borough,President,,DEM,BIDEN/HARRIS,40
Wyoming,Laceyville Borough,President,,REP,TRUMP/PENCE,128
Wyoming,Laceyville Borough,President,,LIB,JORGENSEN/COHEN,3
Wyoming,Laceyville Borough,President,,Write-Ins,WI,0
Wyoming,Laceyville Borough,President,,Scattered,SC,0
Wyoming,Lemon Township,President,,DEM,BIDEN/HARRIS,203
Wyoming,Lemon Township,President,,REP,TRUMP/PENCE,476
Wyoming,Lemon Township,President,,LIB,JORGENSEN/COHEN,6
Wyoming,Lemon Township,President,,Write-Ins,WI,0
Wyoming,Lemon Township,President,,Scattered,SC,2
Wyoming,Mehoopany Township,President,,DEM,BIDEN/HARRIS,103
Wyoming,Mehoopany Township,President,,REP,TRUMP/PENCE,351
Wyoming,Mehoopany Township,President,,LIB,JORGENSEN/COHEN,5
Wyoming,Mehoopany Township,President,,Write-Ins,WI,0
Wyoming,Mehoopany Township,President,,Scattered,SC,1
Wyoming,Meshoppen Borough,President,,DEM,BIDEN/HARRIS,30
Wyoming,Meshoppen Borough,President,,REP,TRUMP/PENCE,106
Wyoming,Meshoppen Borough,President,,LIB,JORGENSEN/COHEN,4
Wyoming,Meshoppen Borough,President,,Write-Ins,WI,0
Wyoming,Meshoppen Borough,President,,Scattered,SC,0
Wyoming,Meshoppen Township,President,,DEM,BIDEN/HARRIS,97
Wyoming,Meshoppen Township,President,,REP,TRUMP/PENCE,349
Wyoming,Meshoppen Township,President,,LIB,JORGENSEN/COHEN,5
Wyoming,Meshoppen Township,President,,Write-Ins,WI,0
Wyoming,Meshoppen Township,President,,Scattered,SC,0
Wyoming,Monroe Township,President,,DEM,BIDEN/HARRIS,233
Wyoming,Monroe Township,President,,REP,TRUMP/PENCE,693
Wyoming,Monroe Township,President,,LIB,JORGENSEN/COHEN,13
Wyoming,Monroe Township,President,,Write-Ins,WI,0
Wyoming,Monroe Township,President,,Scattered,SC,4
Wyoming,Nicholson Boro,President,,DEM,BIDEN/HARRIS,132
Wyoming,Nicholson Boro,President,,REP,TRUMP/PENCE,230
Wyoming,Nicholson Boro,President,,LIB,JORGENSEN/COHEN,10
Wyoming,Nicholson Boro,President,,Write-Ins,WI,0
Wyoming,Nicholson Boro,President,,Scattered,SC,1
Wyoming,Nicholson Township,President,,DEM,BIDEN/HARRIS,223
Wyoming,Nicholson Township,President,,REP,TRUMP/PENCE,508
Wyoming,Nicholson Township,President,,LIB,JORGENSEN/COHEN,6
Wyoming,Nicholson Township,President,,Write-Ins,WI,0
Wyoming,Nicholson Township,President,,Scattered,SC,2
Wyoming,North Branch Township,President,,DEM,BIDEN/HARRIS,33
Wyoming,North Branch Township,President,,REP,TRUMP/PENCE,118
Wyoming,North Branch Township,President,,LIB,JORGENSEN/COHEN,1
Wyoming,North Branch Township,President,,Write-Ins,WI,0
Wyoming,North Branch Township,President,,Scattered,SC,1
Wyoming,Northmoreland Township,President,,DEM,BIDEN/HARRIS,272
Wyoming,Northmoreland Township,President,,REP,TRUMP/PENCE,600
Wyoming,Northmoreland Township,President,,LIB,JORGENSEN/COHEN,9
Wyoming,Northmoreland Township,President,,Write-Ins,WI,0
Wyoming,Northmoreland Township,President,,Scattered,SC,2
Wyoming,Noxen Township,President,,DEM,BIDEN/HARRIS,103
Wyoming,Noxen Township,President,,REP,TRUMP/PENCE,359
Wyoming,Noxen Township,President,,LIB,JORGENSEN/COHEN,9
Wyoming,Noxen Township,President,,Write-Ins,WI,0
Wyoming,Noxen Township,President,,Scattered,SC,1
Wyoming,Overfield Township,President,,DEM,BIDEN/HARRIS,374
Wyoming,Overfield Township,President,,REP,TRUMP/PENCE,553
Wyoming,Overfield Township,President,,LIB,JORGENSEN/COHEN,19
Wyoming,Overfield Township,President,,Write-Ins,WI,0
Wyoming,Overfield Township,President,,Scattered,SC,3
Wyoming,Tunkhannock Boro Wards 1,President,,DEM,BIDEN/HARRIS,51
Wyoming,Tunkhannock Boro Wards 1,President,,REP,TRUMP/PENCE,109
Wyoming,Tunkhannock Boro Wards 1,President,,LIB,JORGENSEN/COHEN,3
Wyoming,Tunkhannock Boro Wards 1,President,,Write-Ins,WI,0
Wyoming,Tunkhannock Boro Wards 1,President,,Scattered,SC,1
Wyoming,Tunkhannock Boro Wards 2,President,,DEM,BIDEN/HARRIS,144
Wyoming,Tunkhannock Boro Wards 2,President,,REP,TRUMP/PENCE,181
Wyoming,Tunkhannock Boro Wards 2,President,,LIB,JORGENSEN/COHEN,5
