county,precinct,office,district,candidate,votes,election_day,mi,pr
Perry,BLAIN BOROUGH,President,,BIDEN/HARRIS,23,21,2,0
Perry,BLAIN BOROUGH,President,,TRUMP/PENCE,97,96,0,1
Perry,BLAIN BOROUGH,President,,JORGENSEN/COHEN,2,2,0,0
Perry,BLAIN BOROUGH,President,,Write-Ins,0,0,0,0
Perry,BLAIN BOROUGH,Attorney General,,JOSH SHAPIRO,24,22,2,0
Perry,BLAIN BOROUGH,Attorney General,,HEATHER HEIDELBAUGH,95,94,0,1
Perry,BLAIN BOROUGH,Attorney General,,DANIEL WASSMER,2,2,0,0
Perry,BLAIN BOROUGH,Attorney General,,RICHARD L WEISS,0,0,0,0
Perry,BLAIN BOROUGH,Attorney General,,Write-Ins,0,0,0,0
Perry,BLAIN BOROUGH,Auditor General,,NINA AHMAD,20,18,2,0
Perry,BLAIN BOROUGH,Auditor General,,TIMOTHY DEFOOR,96,95,0,1
Perry,BLAIN BOROUGH,Auditor General,,JENNIFER MOORE,3,3,0,0
Perry,BLAIN BOROUGH,Auditor General,,OLIVIA FAISON,0,0,0,0
Perry,BLAIN BOROUGH,Auditor General,,Write-Ins,0,0,0,0
Perry,BLAIN BOROUGH,State Treasurer,,JOE TORSELLA,20,18,2,0
Perry,BLAIN BOROUGH,State Treasurer,,STACY L GARRITY,97,96,0,1
Perry,BLAIN BOROUGH,State Treasurer,,JOE SOLOSKI,1,1,0,0
Perry,BLAIN BOROUGH,State Treasurer,,TIMOTHY RUNKLE,1,1,0,0
Perry,BLAIN BOROUGH,State Treasurer,,Write-Ins,0,0,0,0
Perry,BLAIN BOROUGH,Congress,12,LEE GRIFFIN,20,18,2,0
Perry,BLAIN BOROUGH,Congress,12,FRED KELLER,100,99,0,1
Perry,BLAIN BOROUGH,Congress,12,Write-Ins,0,0,0,0
Perry,BLAIN BOROUGH,PA Senator,15,GEORGE SCOTT,25,23,2,0
Perry,BLAIN BOROUGH,PA Senator,15,JOHN DISANTO,95,94,0,1
Perry,BLAIN BOROUGH,PA Senator,15,Write-Ins,0,0,0,0
Perry,BLAIN BOROUGH,PA Rep,86,PERRY STAMBAUGH,111,109,1,1
Perry,BLAIN BOROUGH,PA Rep,86,Write-Ins,0,0,0,0
Perry,BLOOMFIELD BOROUGH,President,,BIDEN/HARRIS,166,91,72,3
Perry,BLOOMFIELD BOROUGH,President,,TRUMP/PENCE,352,301,50,1
Perry,BLOOMFIELD BOROUGH,President,,JORGENSEN/COHEN,7,6,1,0
Perry,BLOOMFIELD BOROUGH,President,,Write-Ins,7,3,4,0
Perry,BLOOMFIELD BOROUGH,Attorney General,,JOSH SHAPIRO,172,99,70,3
